date	gold	platinum	palladium	silver50
20130725	1393.54	1502.73	766.45	1049.50
20130726	1372.49	1504.30	774.12	1067.00
20130727	1393.22	1508.90	777.54	1045.00
20130730	1405.71	1508.44	764.78	1057.50
20130731	1398.20	1518.48	779.33	1062.50
20130801	1414.10	1531.45	782.72	1045.00
20130802	1403.36	1522.36	771.78	1057.00
20130803	1368.19	1517.43	776.81	1049.00
20130806	1385.93	1536.04	774.89	1028.50
20130807	1368.24	1528.16	769.90	1046.50
20130808	1352.65	1506.95	763.55	1049.00
20130809	1363.79	1533.50	770.99	1020.50
20130810	1379.25	1571.00	779.69	1042.00
20130813	1401.94	1584.09	784.64	1074.00
20130814	1417.17	1598.83	787.20	1106.50
20130815	1410.67	1589.50	784.62	1144.00
20130816	1421.19	1611.64	795.74	1140.50
20130817	1441.19	1607.73	798.57	1165.00
20130820	1455.68	1603.61	800.21	1208.50
20130821	1449.05	1596.79	791.50	1232.50
20130822	1441.77	1601.85	787.68	1212.50
20130823	1462.47	1620.94	800.33	1224.00
20130824	1460.75	1635.57	800.25	1226.00
20130827	1459.56	1629.62	796.80	1221.50
20130828	1502.59	1648.48	795.49	1228.00
20130829	1520.66	1635.33	796.87	1295.50
20130830	1500.06	1623.53	788.30	1319.50
20130831	1488.75	1615.15	781.39	1288.50
20130903	1487.36	1632.49	776.15	1263.50
20130904	1492.60	1633.95	771.38	1286.00
20130905	1510.36	1645.12	770.38	1302.50
20130906	1494.07	1604.91	743.95	1272.50
20130907	1470.76	1591.96	738.47	1264.00
20130910	1484.96	1601.74	745.69	1235.00
20130911	1459.37	1569.91	732.34	1256.50
20130912	1446.87	1570.60	743.97	1235.50
20130913	1407.88	1534.73	720.62	1203.50
20130914	1377.11	1507.37	726.32	1193.00
20130917	1364.93	1508.46	731.91	1127.50
20130918	1368.93	1499.61	733.70	1137.00
20130919	1347.45	1477.30	725.69	1139.00
20130920	1384.79	1498.03	729.21	1090.50
20130921	1382.66	1482.39	738.64	1173.50
20130924	1356.05	1469.16	737.66	1166.50
20130925	1346.69	1455.63	729.35	1109.00
20130926	1355.51	1468.20	738.21	1100.50
20130927	1378.34	1481.27	749.94	1121.50
20130928	1374.25	1467.32	748.74	1142.50
20131001	1395.03	1485.11	762.40	1128.50
20131002	1383.35	1460.97	753.85	1125.50
20131003	1343.43	1435.07	740.38	1126.50
20131004	1351.99	1431.52	740.55	1091.50
